date,site_id,part_id,planned_maintenance,consumption_qty,on_hand_qty,backorder_qty,blocked_qty,forecast_qty,forecast_type,forecast_uplift_pct
5/15/2023,SITE01,P00001,FALSE,1,4,0,0,1,Baseline,0
5/22/2023,SITE01,P00001,TRUE,1,9,0,0,1,Baseline,0
5/29/2023,SITE01,P00001,TRUE,1,8,0,0,1,Baseline,0
6/5/2023,SITE01,P00001,TRUE,3,12,0,0,2,Baseline,0
6/12/2023,SITE01,P00001,TRUE,2,10,0,0,2,Baseline,0
6/19/2023,SITE01,P00001,TRUE,0,10,0,0,1,Baseline,0
6/26/2023,SITE01,P00001,TRUE,2,8,0,0,2,Adjusted,0.224
7/3/2023,SITE01,P00001,TRUE,4,8,0,0,2,Adjusted,-0.185
7/10/2023,SITE01,P00001,TRUE,0,8,0,0,2,Baseline,0
7/17/2023,SITE01,P00001,FALSE,2,10,0,0,2,Baseline,0
7/24/2023,SITE01,P00001,FALSE,1,9,0,0,2,Adjusted,0.325
7/31/2023,SITE01,P00001,TRUE,0,9,0,0,1,Baseline,0
8/7/2023,SITE01,P00001,FALSE,1,8,0,0,1,Baseline,0
8/14/2023,SITE01,P00001,TRUE,2,6,0,0,1,Baseline,0
8/21/2023,SITE01,P00001,TRUE,0,6,0,0,1,Baseline,0
8/28/2023,SITE01,P00001,FALSE,2,4,0,0,1,Baseline,0
9/4/2023,SITE01,P00001,TRUE,2,2,0,0,1,Baseline,0
9/11/2023,SITE01,P00001,TRUE,1,7,0,0,1,Adjusted,0.091
9/18/2023,SITE01,P00001,TRUE,1,10,0,0,1,Baseline,0
9/25/2023,SITE01,P00001,FALSE,1,9,0,0,1,Baseline,0
10/2/2023,SITE01,P00001,FALSE,0,9,0,0,1,Baseline,0
10/9/2023,SITE01,P00001,TRUE,0,9,0,0,1,Baseline,0
10/16/2023,SITE01,P00001,TRUE,0,9,0,0,1,Baseline,0
10/23/2023,SITE01,P00001,TRUE,0,9,0,0,1,Adjusted,-0.067
10/30/2023,SITE01,P00001,TRUE,1,8,0,0,0,Baseline,0
11/6/2023,SITE01,P00001,TRUE,1,15,0,0,1,Baseline,0
11/13/2023,SITE01,P00001,TRUE,2,13,0,0,1,Baseline,0
11/20/2023,SITE01,P00001,FALSE,2,11,0,0,1,Baseline,0
11/27/2023,SITE01,P00001,TRUE,3,8,0,0,1,Baseline,0
12/4/2023,SITE01,P00001,FALSE,2,12,0,0,1,Baseline,0
12/11/2023,SITE01,P00001,FALSE,2,10,0,0,2,Baseline,0
12/18/2023,SITE01,P00001,FALSE,2,8,0,0,2,Baseline,0
12/25/2023,SITE01,P00001,TRUE,1,14,0,0,2,Baseline,0
1/1/2024,SITE01,P00001,TRUE,2,12,0,0,2,Baseline,0
1/8/2024,SITE01,P00001,TRUE,3,9,0,0,2,Baseline,0
1/15/2024,SITE01,P00001,TRUE,0,9,0,0,2,Baseline,0
1/22/2024,SITE01,P00001,FALSE,3,10,0,0,2,Adjusted,0.057
1/29/2024,SITE01,P00001,TRUE,1,9,0,0,2,Baseline,0
2/5/2024,SITE01,P00001,TRUE,4,11,0,0,2,Adjusted,0.14
2/12/2024,SITE01,P00001,TRUE,1,10,0,0,2,Baseline,0
2/19/2024,SITE01,P00001,TRUE,1,9,0,0,2,Adjusted,0.199
2/26/2024,SITE01,P00001,TRUE,1,8,0,0,1,Adjusted,-0.104
3/4/2024,SITE01,P00001,TRUE,1,7,0,0,1,Baseline,0
3/11/2024,SITE01,P00001,TRUE,2,14,0,0,2,Baseline,0
3/18/2024,SITE01,P00001,FALSE,0,14,0,0,1,Baseline,0
3/25/2024,SITE01,P00001,FALSE,3,11,0,0,2,Adjusted,0.252
4/1/2024,SITE01,P00001,TRUE,1,10,0,0,1,Baseline,0
4/8/2024,SITE01,P00001,FALSE,0,10,0,0,1,Baseline,0
4/15/2024,SITE01,P00001,FALSE,0,10,0,0,1,Baseline,0
4/22/2024,SITE01,P00001,TRUE,2,8,0,0,1,Adjusted,0.336
4/29/2024,SITE01,P00001,TRUE,4,9,0,0,2,Adjusted,0.311
5/6/2024,SITE01,P00001,FALSE,3,13,0,0,2,Baseline,0
5/13/2024,SITE01,P00001,TRUE,2,11,0,0,2,Baseline,0
5/20/2024,SITE01,P00001,TRUE,1,10,0,0,1,Adjusted,-0.224
5/27/2024,SITE01,P00001,TRUE,0,10,0,0,1,Baseline,0
6/3/2024,SITE01,P00001,FALSE,3,15,0,0,2,Baseline,0
6/10/2024,SITE01,P00001,TRUE,0,15,0,0,2,Baseline,0
6/17/2024,SITE01,P00001,FALSE,5,10,0,0,2,Adjusted,-0.104
6/24/2024,SITE01,P00001,FALSE,0,10,0,0,2,Baseline,0
7/1/2024,SITE01,P00001,TRUE,3,7,0,0,2,Adjusted,0.146
7/8/2024,SITE01,P00001,FALSE,0,14,0,0,1,Baseline,0
7/15/2024,SITE01,P00001,TRUE,2,12,0,0,2,Adjusted,0.265
7/22/2024,SITE01,P00001,FALSE,1,11,0,0,2,Baseline,0
7/29/2024,SITE01,P00001,TRUE,1,10,0,0,2,Baseline,0
8/5/2024,SITE01,P00001,FALSE,1,9,0,0,2,Baseline,0
8/12/2024,SITE01,P00001,FALSE,0,9,0,0,1,Baseline,0
8/19/2024,SITE01,P00001,FALSE,2,14,0,0,1,Baseline,0
8/26/2024,SITE01,P00001,FALSE,1,13,0,0,1,Baseline,0
9/2/2024,SITE01,P00001,FALSE,0,13,0,0,1,Baseline,0
9/9/2024,SITE01,P00001,TRUE,1,12,0,0,1,Baseline,0
9/16/2024,SITE01,P00001,TRUE,1,11,0,0,1,Baseline,0
9/23/2024,SITE01,P00001,FALSE,1,10,0,0,1,Baseline,0
9/30/2024,SITE01,P00001,FALSE,0,10,0,0,1,Baseline,0
10/7/2024,SITE01,P00001,TRUE,2,8,0,0,1,Baseline,0
10/14/2024,SITE01,P00001,TRUE,1,13,0,0,1,Adjusted,0.213
10/21/2024,SITE01,P00001,FALSE,2,11,0,0,1,Baseline,0
10/28/2024,SITE01,P00001,FALSE,0,11,0,0,1,Baseline,0
11/4/2024,SITE01,P00001,TRUE,0,11,0,0,1,Adjusted,0.053
11/11/2024,SITE01,P00001,TRUE,2,9,0,0,1,Adjusted,0.084
11/18/2024,SITE01,P00001,TRUE,0,9,0,0,1,Baseline,0
11/25/2024,SITE01,P00001,TRUE,2,11,0,0,1,Baseline,0
12/2/2024,SITE01,P00001,FALSE,0,11,0,0,1,Adjusted,-0.186
12/9/2024,SITE01,P00001,FALSE,1,10,0,0,1,Baseline,0
12/16/2024,SITE01,P00001,FALSE,7,11,0,0,2,Baseline,0
12/23/2024,SITE01,P00001,FALSE,1,10,0,0,2,Baseline,0
1/3/2022,SITE01,P00002,TRUE,3,18,0,0,3,Baseline,0
1/10/2022,SITE01,P00002,FALSE,9,20,0,0,6,Baseline,0
1/17/2022,SITE01,P00002,FALSE,1,19,0,0,4,Baseline,0
1/24/2022,SITE01,P00002,TRUE,3,16,0,0,4,Baseline,0
1/31/2022,SITE01,P00002,TRUE,4,12,0,0,4,Baseline,0
2/7/2022,SITE01,P00002,TRUE,5,24,0,0,4,Baseline,0
2/14/2022,SITE01,P00002,TRUE,1,23,0,0,4,Baseline,0
2/21/2022,SITE01,P00002,FALSE,4,19,0,0,4,Baseline,0
2/28/2022,SITE01,P00002,FALSE,9,10,0,0,4,Baseline,0
3/7/2022,SITE01,P00002,FALSE,10,0,0,0,4,Baseline,0
3/14/2022,SITE01,P00002,TRUE,5,8,5,0,5,Baseline,0
3/21/2022,SITE01,P00002,FALSE,2,17,0,0,5,Baseline,0
3/28/2022,SITE01,P00002,FALSE,3,14,0,0,5,Baseline,0
4/4/2022,SITE01,P00002,FALSE,1,13,0,0,4,Baseline,0
4/11/2022,SITE01,P00002,FALSE,6,7,0,0,5,Baseline,0
4/18/2022,SITE01,P00002,FALSE,1,6,0,0,5,Baseline,0
4/25/2022,SITE01,P00002,TRUE,2,4,0,0,5,Adjusted,0.229
5/2/2022,SITE01,P00002,FALSE,3,12,0,0,3,Baseline,0
5/9/2022,SITE01,P00002,TRUE,11,19,1,2,3,Baseline,0
5/16/2022,SITE01,P00002,FALSE,1,18,0,0,4,Baseline,0
5/23/2022,SITE01,P00002,FALSE,7,25,0,0,4,Baseline,0
5/30/2022,SITE01,P00002,FALSE,0,25,0,0,4,Baseline,0
6/6/2022,SITE01,P00002,TRUE,6,19,0,0,4,Baseline,0
6/13/2022,SITE01,P00002,FALSE,12,23,0,0,5,Baseline,0
6/20/2022,SITE01,P00002,FALSE,5,18,0,0,6,Baseline,0
6/27/2022,SITE01,P00002,TRUE,3,15,0,0,6,Baseline,0
7/4/2022,SITE01,P00002,FALSE,0,15,0,0,4,Baseline,0
7/11/2022,SITE01,P00002,FALSE,1,14,0,0,5,Baseline,0
7/18/2022,SITE01,P00002,FALSE,2,12,0,0,4,Baseline,0
7/25/2022,SITE01,P00002,FALSE,2,18,0,0,4,Baseline,0
8/1/2022,SITE01,P00002,TRUE,3,15,0,0,4,Baseline,0
8/8/2022,SITE01,P00002,TRUE,3,12,0,0,2,Baseline,0
8/15/2022,SITE01,P00002,FALSE,5,7,0,0,2,Baseline,0
8/22/2022,SITE01,P00002,TRUE,2,5,0,0,2,Adjusted,0.059
8/29/2022,SITE01,P00002,FALSE,3,10,0,0,2,Baseline,0
9/5/2022,SITE01,P00002,FALSE,4,21,0,0,4,Adjusted,0.145
9/12/2022,SITE01,P00002,FALSE,1,20,0,0,3,Baseline,0
9/19/2022,SITE01,P00002,FALSE,1,19,0,0,3,Baseline,0
9/26/2022,SITE01,P00002,TRUE,1,18,0,0,3,Adjusted,0.312
10/3/2022,SITE01,P00002,FALSE,6,12,0,0,3,Baseline,0
10/10/2022,SITE01,P00002,FALSE,1,11,0,0,3,Baseline,0
10/17/2022,SITE01,P00002,TRUE,4,24,0,0,3,Adjusted,0.19
10/24/2022,SITE01,P00002,FALSE,0,24,0,0,2,Adjusted,-0.115
10/31/2022,SITE01,P00002,FALSE,3,21,0,0,2,Baseline,0
11/7/2022,SITE01,P00002,TRUE,3,18,0,0,2,Baseline,0
11/14/2022,SITE01,P00002,FALSE,0,18,0,0,2,Baseline,0
11/21/2022,SITE01,P00002,FALSE,0,18,0,0,2,Baseline,0
11/28/2022,SITE01,P00002,TRUE,3,15,0,0,2,Adjusted,0.172
12/5/2022,SITE01,P00002,TRUE,5,26,0,0,2,Baseline,0
12/12/2022,SITE01,P00002,TRUE,3,23,0,0,2,Baseline,0
12/19/2022,SITE01,P00002,TRUE,2,21,0,0,2,Baseline,0
12/26/2022,SITE01,P00002,FALSE,5,16,0,0,3,Baseline,0
1/2/2023,SITE01,P00002,TRUE,4,12,0,0,3,Baseline,0
1/9/2023,SITE01,P00002,TRUE,2,10,0,0,3,Baseline,0
1/16/2023,SITE01,P00002,FALSE,2,23,0,0,3,Adjusted,-0.163
1/23/2023,SITE01,P00002,TRUE,1,22,0,0,3,Baseline,0
1/30/2023,SITE01,P00002,TRUE,2,20,0,0,3,Baseline,0
2/6/2023,SITE01,P00002,TRUE,2,18,0,0,3,Baseline,0
2/13/2023,SITE01,P00002,TRUE,1,17,0,0,2,Baseline,0
2/20/2023,SITE01,P00002,FALSE,0,17,0,0,2,Baseline,0
2/27/2023,SITE01,P00002,FALSE,21,15,4,0,4,Baseline,0
3/6/2023,SITE01,P00002,FALSE,6,25,0,0,4,Baseline,0
3/13/2023,SITE01,P00002,FALSE,0,25,0,0,4,Baseline,0
3/20/2023,SITE01,P00002,TRUE,3,22,0,0,4,Baseline,0
3/27/2023,SITE01,P00002,FALSE,1,21,0,0,5,Adjusted,0.256
4/3/2023,SITE01,P00002,TRUE,2,19,0,0,4,Baseline,0
4/10/2023,SITE01,P00002,FALSE,2,17,0,0,4,Baseline,0
4/17/2023,SITE01,P00002,FALSE,2,15,0,0,5,Baseline,0
4/24/2023,SITE01,P00002,TRUE,0,15,0,0,2,Baseline,0
5/1/2023,SITE01,P00002,FALSE,0,15,0,0,1,Baseline,0
5/8/2023,SITE01,P00002,TRUE,5,28,0,0,2,Adjusted,-0.093
5/15/2023,SITE01,P00002,FALSE,2,26,0,0,2,Baseline,0
5/22/2023,SITE01,P00002,TRUE,4,22,0,0,2,Baseline,0
5/29/2023,SITE01,P00002,FALSE,3,19,0,0,2,Adjusted,-0.181
6/5/2023,SITE01,P00002,TRUE,4,15,0,0,3,Adjusted,0.079
6/12/2023,SITE01,P00002,FALSE,2,13,0,0,3,Baseline,0
6/19/2023,SITE01,P00002,TRUE,1,12,0,0,2,Baseline,0
6/26/2023,SITE01,P00002,TRUE,1,22,0,0,3,Baseline,0
7/3/2023,SITE01,P00002,TRUE,5,17,0,0,3,Baseline,0
7/10/2023,SITE01,P00002,TRUE,3,14,0,0,3,Baseline,0
7/17/2023,SITE01,P00002,FALSE,1,13,0,0,3,Baseline,0
7/24/2023,SITE01,P00002,FALSE,0,13,0,0,2,Baseline,0
7/31/2023,SITE01,P00002,FALSE,2,19,0,2,2,Baseline,0
8/7/2023,SITE01,P00002,FALSE,5,14,0,0,2,Baseline,0
8/14/2023,SITE01,P00002,TRUE,1,13,0,0,2,Baseline,0
8/21/2023,SITE01,P00002,FALSE,1,12,0,0,2,Baseline,0
8/28/2023,SITE01,P00002,TRUE,4,27,0,0,2,Baseline,0
9/4/2023,SITE01,P00002,TRUE,4,23,0,0,3,Adjusted,0.111
9/11/2023,SITE01,P00002,FALSE,1,22,0,0,2,Baseline,0
9/18/2023,SITE01,P00002,TRUE,1,21,0,0,2,Baseline,0
9/25/2023,SITE01,P00002,FALSE,2,19,0,0,2,Baseline,0
10/2/2023,SITE01,P00002,TRUE,2,17,0,0,2,Adjusted,-0.061
10/9/2023,SITE01,P00002,TRUE,3,14,0,0,3,Adjusted,0.197
10/16/2023,SITE01,P00002,TRUE,2,12,0,0,2,Baseline,0
10/23/2023,SITE01,P00002,FALSE,5,7,0,0,3,Baseline,0
10/30/2023,SITE01,P00002,TRUE,1,6,0,0,2,Baseline,0
11/6/2023,SITE01,P00002,FALSE,1,17,0,0,3,Adjusted,0.202
11/13/2023,SITE01,P00002,TRUE,6,25,0,0,4,Adjusted,0.333
11/20/2023,SITE01,P00002,TRUE,2,23,0,0,3,Baseline,0
11/27/2023,SITE01,P00002,FALSE,1,22,0,0,3,Baseline,0
12/4/2023,SITE01,P00002,FALSE,0,22,0,0,2,Baseline,0
12/11/2023,SITE01,P00002,FALSE,4,18,0,0,2,Baseline,0
12/18/2023,SITE01,P00002,FALSE,1,17,0,0,2,Baseline,0
12/25/2023,SITE01,P00002,TRUE,2,15,0,0,2,Baseline,0
1/1/2024,SITE01,P00002,TRUE,3,12,0,0,2,Baseline,0
1/8/2024,SITE01,P00002,FALSE,3,28,0,0,2,Baseline,0
1/15/2024,SITE01,P00002,FALSE,2,26,0,0,2,Baseline,0
1/22/2024,SITE01,P00002,FALSE,3,23,0,0,2,Adjusted,0.082
1/29/2024,SITE01,P00002,FALSE,0,23,0,0,2,Baseline,0
2/5/2024,SITE01,P00002,TRUE,1,22,0,0,2,Baseline,0
2/12/2024,SITE01,P00002,FALSE,5,17,0,0,2,Baseline,0
2/19/2024,SITE01,P00002,TRUE,1,16,0,0,2,Baseline,0
2/26/2024,SITE01,P00002,FALSE,2,14,0,0,2,Baseline,0
3/4/2024,SITE01,P00002,FALSE,5,17,0,0,2,Baseline,0
3/11/2024,SITE01,P00002,TRUE,3,14,0,0,3,Adjusted,0.171
3/18/2024,SITE01,P00002,TRUE,0,14,0,0,2,Baseline,0
3/25/2024,SITE01,P00002,FALSE,0,14,0,0,2,Baseline,0
4/1/2024,SITE01,P00002,FALSE,7,7,0,0,3,Baseline,0
4/8/2024,SITE01,P00002,TRUE,1,14,0,0,2,Baseline,0
4/15/2024,SITE01,P00002,TRUE,4,10,0,0,3,Baseline,0
4/22/2024,SITE01,P00002,TRUE,0,18,0,0,2,Adjusted,-0.199
4/29/2024,SITE01,P00002,TRUE,4,14,0,0,2,Baseline,0
5/6/2024,SITE01,P00002,TRUE,4,30,0,0,3,Baseline,0
5/13/2024,SITE01,P00002,TRUE,2,28,0,0,3,Baseline,0
5/20/2024,SITE01,P00002,TRUE,2,26,0,0,3,Baseline,0
5/27/2024,SITE01,P00002,TRUE,4,22,0,0,3,Baseline,0
6/3/2024,SITE01,P00002,TRUE,4,18,0,0,3,Baseline,0
6/10/2024,SITE01,P00002,FALSE,2,16,0,0,3,Baseline,0
6/17/2024,SITE01,P00002,TRUE,2,14,0,0,3,Baseline,0
6/24/2024,SITE01,P00002,TRUE,1,13,0,0,3,Baseline,0
7/1/2024,SITE01,P00002,TRUE,1,12,0,0,2,Baseline,0
7/8/2024,SITE01,P00002,TRUE,4,26,0,0,3,Baseline,0
7/15/2024,SITE01,P00002,FALSE,4,22,0,0,3,Baseline,0
7/22/2024,SITE01,P00002,FALSE,1,21,0,0,2,Baseline,0
7/29/2024,SITE01,P00002,FALSE,0,21,0,0,2,Baseline,0
8/5/2024,SITE01,P00002,TRUE,3,18,0,0,2,Baseline,0
8/12/2024,SITE01,P00002,TRUE,4,14,0,0,2,Baseline,0
8/19/2024,SITE01,P00002,FALSE,2,12,0,0,2,Baseline,0
8/26/2024,SITE01,P00002,TRUE,0,12,0,0,2,Baseline,0
9/2/2024,SITE01,P00002,FALSE,1,24,0,0,2,Baseline,0
9/9/2024,SITE01,P00002,FALSE,2,22,0,0,2,Baseline,0
9/16/2024,SITE01,P00002,TRUE,0,22,0,0,2,Adjusted,0.332
9/23/2024,SITE01,P00002,TRUE,4,18,0,0,2,Baseline,0
9/30/2024,SITE01,P00002,FALSE,2,16,0,0,2,Baseline,0
10/7/2024,SITE01,P00002,TRUE,1,15,0,0,1,Baseline,0
10/14/2024,SITE01,P00002,TRUE,2,13,0,0,2,Baseline,0
10/21/2024,SITE01,P00002,TRUE,1,12,0,0,2,Baseline,0
10/28/2024,SITE01,P00002,TRUE,3,9,0,0,2,Baseline,0
11/4/2024,SITE01,P00002,FALSE,0,9,0,0,2,Baseline,0
11/11/2024,SITE01,P00002,TRUE,2,7,0,0,2,Adjusted,0.237
11/18/2024,SITE01,P00002,FALSE,6,11,0,0,3,Adjusted,0.347
11/25/2024,SITE01,P00002,FALSE,2,22,0,0,2,Baseline,0
12/2/2024,SITE01,P00002,FALSE,1,21,0,0,2,Baseline,0
12/9/2024,SITE01,P00002,FALSE,6,15,0,0,3,Baseline,0
12/16/2024,SITE01,P00002,TRUE,1,0,0,0,2,Adjusted,-0.172
12/23/2024,SITE01,P00002,FALSE,1,0,0,0,2,Baseline,0
1/3/2022,SITE01,P00003,FALSE,7,24,0,0,6,Baseline,0
1/10/2022,SITE01,P00003,FALSE,0,24,0,0,4,Baseline,0
1/17/2022,SITE01,P00003,TRUE,3,21,0,0,3,Baseline,0
1/24/2022,SITE01,P00003,FALSE,4,29,0,0,4,Adjusted,0.197
1/31/2022,SITE01,P00003,FALSE,4,25,0,0,4,Baseline,0
2/7/2022,SITE01,P00003,FALSE,0,25,0,0,3,Baseline,0
2/14/2022,SITE01,P00003,FALSE,0,25,0,0,2,Baseline,0
2/21/2022,SITE01,P00003,TRUE,4,41,0,0,3,Baseline,0
2/28/2022,SITE01,P00003,FALSE,0,41,0,0,2,Baseline,0
3/7/2022,SITE01,P00003,TRUE,4,37,0,0,3,Adjusted,0.338
3/14/2022,SITE01,P00003,FALSE,5,32,0,0,2,Baseline,0
3/21/2022,SITE01,P00003,TRUE,4,28,0,0,3,Baseline,0
3/28/2022,SITE01,P00003,FALSE,5,23,0,0,3,Baseline,0
4/4/2022,SITE01,P00003,FALSE,5,36,0,0,3,Baseline,0
4/11/2022,SITE01,P00003,FALSE,1,35,0,0,4,Baseline,0
4/18/2022,SITE01,P00003,FALSE,2,33,0,0,3,Baseline,0
4/25/2022,SITE01,P00003,FALSE,11,22,0,0,4,Baseline,0
5/2/2022,SITE01,P00003,TRUE,3,19,0,0,4,Baseline,0
5/9/2022,SITE01,P00003,TRUE,2,28,0,0,4,Baseline,0
5/16/2022,SITE01,P00003,TRUE,2,26,0,0,4,Baseline,0
5/23/2022,SITE01,P00003,TRUE,2,24,0,0,4,Baseline,0
5/30/2022,SITE01,P00003,FALSE,6,18,0,0,4,Baseline,0
6/6/2022,SITE01,P00003,TRUE,2,35,0,0,4,Baseline,0
6/13/2022,SITE01,P00003,FALSE,9,26,0,0,5,Baseline,0
6/20/2022,SITE01,P00003,FALSE,6,32,0,0,4,Baseline,0
6/27/2022,SITE01,P00003,TRUE,2,30,0,0,4,Baseline,0
7/4/2022,SITE01,P00003,FALSE,0,30,0,0,4,Baseline,0
7/11/2022,SITE01,P00003,FALSE,6,24,0,0,4,Baseline,0
7/18/2022,SITE01,P00003,FALSE,0,24,0,0,4,Baseline,0
7/25/2022,SITE01,P00003,TRUE,5,19,0,0,4,Baseline,0
8/1/2022,SITE01,P00003,TRUE,3,28,0,0,4,Baseline,0
8/8/2022,SITE01,P00003,TRUE,1,27,0,0,3,Baseline,0
8/15/2022,SITE01,P00003,TRUE,4,23,0,0,3,Adjusted,0.174
8/22/2022,SITE01,P00003,FALSE,7,16,0,0,3,Baseline,0
8/29/2022,SITE01,P00003,FALSE,1,15,0,0,3,Baseline,0
9/5/2022,SITE01,P00003,FALSE,1,29,0,0,3,Baseline,0
9/12/2022,SITE01,P00003,FALSE,0,29,0,0,3,Adjusted,0.073
9/19/2022,SITE01,P00003,TRUE,0,29,0,0,2,Adjusted,0.063
9/26/2022,SITE01,P00003,FALSE,1,28,0,0,2,Baseline,0
10/3/2022,SITE01,P00003,TRUE,2,26,0,0,2,Baseline,0
10/10/2022,SITE01,P00003,TRUE,1,25,0,0,2,Adjusted,0.126
10/17/2022,SITE01,P00003,TRUE,0,25,0,0,1,Baseline,0
10/24/2022,SITE01,P00003,TRUE,2,23,0,0,1,Baseline,0
10/31/2022,SITE01,P00003,TRUE,4,19,0,0,1,Baseline,0
11/7/2022,SITE01,P00003,TRUE,1,18,0,0,1,Baseline,0
11/14/2022,SITE01,P00003,FALSE,7,33,0,0,2,Baseline,0
